K,config,mode,use_climate,rmse_mean,rmse_std,alpha_mean
1,static   GSTAR,static,False,88.787,3.77,1.0
1,learned  GSTAR,learned,False,88.554,3.468,0.0
1,adaptive GSTAR,adaptive,False,88.696,3.854,0.0175
1,static   GSTARX,static,True,88.226,3.817,1.0
1,learned  GSTARX,learned,True,87.968,3.596,0.0
1,adaptive GSTARX,adaptive,True,88.218,3.849,0.2083
12,static   GSTAR,static,False,81.249,8.387,1.0
12,learned  GSTAR,learned,False,80.695,8.322,0.0
12,adaptive GSTAR,adaptive,False,82.226,7.796,0.0043
12,static   GSTARX,static,True,79.042,6.351,1.0
12,learned  GSTARX,learned,True,79.218,6.407,0.0
12,adaptive GSTARX,adaptive,True,79.078,5.987,0.0173
