model,regime,n_months_total,rmse
casa_full,ElNino,24.0,71.52043213210703
casa_full,LaNina,36.0,89.37936824084369
casa_full,Neutral,40.0,77.84958737175263
casa_neighbours_only,ElNino,24.0,71.38724975847866
casa_neighbours_only,LaNina,36.0,89.3540829529005
casa_neighbours_only,Neutral,40.0,77.52351924782971
casa_neighbours_only_aH01,ElNino,24.0,71.38080637504608
casa_neighbours_only_aH01,LaNina,36.0,89.34017856734707
casa_neighbours_only_aH01,Neutral,40.0,77.51744195378744
casa_neighbours_only_b0,ElNino,24.0,71.34473279991333
casa_neighbours_only_b0,LaNina,36.0,89.2652417519391
casa_neighbours_only_b0,Neutral,40.0,77.63474096304756
casa_neighbours_only_lb12,ElNino,24.0,65.92001741410085
casa_neighbours_only_lb12,LaNina,36.0,80.71384952753225
casa_neighbours_only_lb12,Neutral,40.0,73.01032723113562
casa_neighbours_only_lb12_freezeA0,ElNino,24.0,63.36943298711465
casa_neighbours_only_lb12_freezeA0,LaNina,36.0,77.40160266877896
casa_neighbours_only_lb12_freezeA0,Neutral,40.0,71.03904344940763
casa_neighbours_only_lb12_freezeA0897,ElNino,24.0,63.33117200165331
casa_neighbours_only_lb12_freezeA0897,LaNina,36.0,77.01597170511572
casa_neighbours_only_lb12_freezeA0897,Neutral,40.0,71.29109541176437
casa_neighbours_only_lb12_freezeA1,ElNino,24.0,63.31920422387106
casa_neighbours_only_lb12_freezeA1,LaNina,36.0,76.97264474692828
casa_neighbours_only_lb12_freezeA1,Neutral,40.0,71.30941629543487
casa_neighbours_only_lb12_gstarK1,ElNino,24.0,63.33971333902327
casa_neighbours_only_lb12_gstarK1,LaNina,36.0,77.01868480907422
casa_neighbours_only_lb12_gstarK1,Neutral,40.0,71.27938989374837
casa_neighbours_only_lb12_gstarK1_k3,ElNino,24.0,63.42375313841457
casa_neighbours_only_lb12_gstarK1_k3,LaNina,36.0,76.41812844776743
casa_neighbours_only_lb12_gstarK1_k3,Neutral,40.0,71.29616459533737
casa_neighbours_only_lb12_gstarK1_k8,ElNino,24.0,63.458138685941826
casa_neighbours_only_lb12_gstarK1_k8,LaNina,36.0,76.99734784275468
casa_neighbours_only_lb12_gstarK1_k8,Neutral,40.0,71.08627610083829
casa_neighbours_only_lb12_gstarK1_s123,ElNino,24.0,64.07295190221511
casa_neighbours_only_lb12_gstarK1_s123,LaNina,36.0,77.91276838509876
casa_neighbours_only_lb12_gstarK1_s123,Neutral,40.0,72.74178582042788
casa_neighbours_only_lb12_gstarK1_s7,ElNino,24.0,63.687018016682224
casa_neighbours_only_lb12_gstarK1_s7,LaNina,36.0,78.29787670433825
casa_neighbours_only_lb12_gstarK1_s7,Neutral,40.0,71.96352251576685
casa_neighbours_only_lb12_rc,ElNino,24.0,65.89653404852825
casa_neighbours_only_lb12_rc,LaNina,36.0,80.71421258176844
casa_neighbours_only_lb12_rc,Neutral,40.0,72.98993844060931
casa_neighbours_only_lb18,ElNino,24.0,64.91270076022265
casa_neighbours_only_lb18,LaNina,36.0,80.32443035466359
casa_neighbours_only_lb18,Neutral,40.0,71.90734764229836
casa_neighbours_only_lb18_gstarK1,ElNino,24.0,63.57570868295572
casa_neighbours_only_lb18_gstarK1,LaNina,36.0,76.82673099718734
casa_neighbours_only_lb18_gstarK1,Neutral,40.0,70.89258483899994
casa_neighbours_only_lb24,ElNino,24.0,65.01482877838833
casa_neighbours_only_lb24,LaNina,36.0,80.03909783563867
casa_neighbours_only_lb24,Neutral,40.0,71.66524089048411
casa_neighbours_only_lb24_gstarK1,ElNino,24.0,63.81350894756082
casa_neighbours_only_lb24_gstarK1,LaNina,36.0,76.50125583884521
casa_neighbours_only_lb24_gstarK1,Neutral,40.0,70.80814477947402
casa_neighbours_only_lb6,ElNino,24.0,64.504477430878
casa_neighbours_only_lb6,LaNina,36.0,81.96564184336901
casa_neighbours_only_lb6,Neutral,40.0,70.98062455685827
casa_neighbours_only_lb6_gstarK1,ElNino,24.0,63.78668806142595
casa_neighbours_only_lb6_gstarK1,LaNina,36.0,80.12811809645211
casa_neighbours_only_lb6_gstarK1,Neutral,40.0,70.43217890397584
casa_neighbours_only_rc,ElNino,24.0,71.36585429593016
casa_neighbours_only_rc,LaNina,36.0,89.0296677656558
casa_neighbours_only_rc,Neutral,40.0,77.51302059845266
casa_no_climate,ElNino,24.0,71.46600596361267
casa_no_climate,LaNina,36.0,89.39159195477046
casa_no_climate,Neutral,40.0,77.8516796693565
casa_no_geo,ElNino,24.0,72.10742345920778
casa_no_geo,LaNina,36.0,89.1292979347588
casa_no_geo,Neutral,40.0,78.73004220163655
casa_static_alpha,ElNino,24.0,71.50910664629869
casa_static_alpha,LaNina,36.0,89.33557586451148
casa_static_alpha,Neutral,40.0,77.86534780485667
gstar,ElNino,24.0,81.50376987919314
gstar,LaNina,36.0,93.04219470086578
gstar,Neutral,40.0,85.00405504191473
gstarx,ElNino,24.0,83.55588114944453
gstarx,LaNina,36.0,91.20186247373005
gstarx,Neutral,40.0,84.98599761729258
lstm_static,ElNino,24.0,71.3863453433021
lstm_static,LaNina,36.0,89.42283746320656
lstm_static,Neutral,40.0,77.50459637395106
